Customer_SK,Customer_Fname,Customer_Lname,Customer_Segment,Customer_City,Customer_Country,Customer_State,Customer_Street,Customer_Zipcode
20755,Cally,Holloway,Consumer,Caguas,Puerto Rico,PR,5365 Noble Nectar Island,725
19492,Irene,Luna,Consumer,Caguas,Puerto Rico,PR,2679 Rustic Loop,725
19491,Gillian,Maldonado,Consumer,San Jose,EE. UU.,CA,8510 Round Bear Gate,95125
19490,Tana,Tate,Home Office,Los Angeles,EE. UU.,CA,3200 Amber Bend,90027
19489,Orli,Hendricks,Corporate,Caguas,Puerto Rico,PR,8671 Iron Anchor Corners,725
19488,Kimberly,Flowers,Consumer,Tonawanda,EE. UU.,NY,2122 Hazy Corner,14150
19487,Constance,Terrell,Home Office,Caguas,Puerto Rico,PR,1879 Green Pine Bank,725
19486,Erica,Stevens,Corporate,Miami,EE. UU.,FL,7595 Cotton Log Row,33162
19485,Nichole,Olsen,Corporate,Caguas,Puerto Rico,PR,2051 Dusty Route,725
19484,Oprah,Delacruz,Corporate,San Ramon,EE. UU.,CA,9139 Blue Blossom Court,94583
19483,Germane,Short,Corporate,Caguas,Puerto Rico,PR,4058 Quiet Heights,725
19482,Freya,Robbins,Consumer,Freeport,EE. UU.,NY,3243 Shady Corner,11520
19481,Cassandra,Jensen,Corporate,Salinas,EE. UU.,CA,131 Sunny Treasure Green,93905
19480,Natalie,Mcfadden,Corporate,Caguas,Puerto Rico,PR,2531 Wishing Square,725
19479,Kimberley,Sharpe,Corporate,Peabody,EE. UU.,MA,6417 Silver Towers,1960
19478,Sade,Lancaster,Corporate,Caguas,Puerto Rico,PR,257 Harvest Close,725
19477,Brynne,Giles,Corporate,Canovanas,Puerto Rico,PR,7342 Hazy Beacon Park,729
19476,Ciara,Bird,Corporate,Paramount,EE. UU.,CA,7787 Lazy Corners,90723
19475,Bo,Griffin,Consumer,Caguas,Puerto Rico,PR,5136 Rustic Pioneer Estates,725
19474,Kim,Simon,Consumer,Mount Prospect,EE. UU.,IL,1723 Tawny Via,60056
19473,Kellie,Farmer,Corporate,Long Beach,EE. UU.,CA,7111 Silent Fox Gardens,90813
19472,Alma,Conley,Corporate,Caguas,Puerto Rico,PR,3732 Old Mountain Bank,725
19471,Yeo,Bird,Corporate,Rancho Cordova,EE. UU.,CA,6217 Rustic Lake Forest,95670
